FIPS|Countyname|Postal|LineCode|IndustryName|Real Gross domestic product (GDP) by county|||
||||| (thousands of chained 2012 dollars)|||
|||||2012|2013|2014|2015
1001|Autauga|AL|1|All Industries|1383941|1322416|1312668|1412939
1001|Autauga|AL|2|  Private goods-producing industries|286396|299115|310672|325250
1001|Autauga|AL|3|  Private services-providing industries|948490|880098|861153|946148
1001|Autauga|AL|4|  Government and government enterprises|149055|143062|140893|141294
1003|Baldwin|AL|1|All Industries|5599194|6218819|6247887|5981958
1003|Baldwin|AL|2|  Private goods-producing industries|681871|675300|667273|681451
1003|Baldwin|AL|3|  Private services-providing industries|4306173|4938029|4981897|4687199
1003|Baldwin|AL|4|  Government and government enterprises|611151|606634|600257|613367
1005|Barbour|AL|1|All Industries|639833|687532|663462|708778
1005|Barbour|AL|2|  Private goods-producing industries|253232|299701|282243|307785
1005|Barbour|AL|3|  Private services-providing industries|274894|281751|277494|299780
1005|Barbour|AL|4|  Government and government enterprises|111707|106334|103793|101776
1007|Bibb|AL|1|All Industries|297560|314380|305472|291780
1007|Bibb|AL|2|  Private goods-producing industries|98048|107783|95920|89418
1007|Bibb|AL|3|  Private services-providing industries|116767|126946|132653|124826
1007|Bibb|AL|4|  Government and government enterprises|82746|79635|77382|78060
1009|Blount|AL|1|All Industries|632761|683949|661352|778131
1009|Blount|AL|2|  Private goods-producing industries|187947|230423|202582|202719
1009|Blount|AL|3|  Private services-providing industries|310042|323387|332893|449819
1009|Blount|AL|4|  Government and government enterprises|134773|130240|125749|124457
1011|Bullock|AL|1|All Industries|191052|185250|170520|169621
1011|Bullock|AL|2|  Private goods-producing industries|67063|70078|59153|61066
1011|Bullock|AL|3|  Private services-providing industries|78889|71155|68148|66269
1011|Bullock|AL|4|  Government and government enterprises|45101|44016|43113|42266
1013|Butler|AL|1|All Industries|514216|510470|488051|510960
1013|Butler|AL|2|  Private goods-producing industries|189427|162906|146384|151362
1013|Butler|AL|3|  Private services-providing industries|263801|288224|283313|301584
1013|Butler|AL|4|  Government and government enterprises|60988|59371|58461|58206
1015|Calhoun|AL|1|All Industries|4073476|3918440|3780726|3750456
1015|Calhoun|AL|2|  Private goods-producing industries|1051376|983710|834825|799942
1015|Calhoun|AL|3|  Private services-providing industries|1951870|1956676|1959374|1966730
1015|Calhoun|AL|4|  Government and government enterprises|1070229|977981|985321|982529
1017|Chambers|AL|1|All Industries|567650|613470|653977|667159
1017|Chambers|AL|2|  Private goods-producing industries|177977|207322|206069|235442
1017|Chambers|AL|3|  Private services-providing industries|301425|320183|335196|317545
1017|Chambers|AL|4|  Government and government enterprises|88248|85900|112517|112444
1019|Cherokee|AL|1|All Industries|443582|467206|435311|412342
1019|Cherokee|AL|2|  Private goods-producing industries|153006|175373|150555|139068
1019|Cherokee|AL|3|  Private services-providing industries|212307|214894|208520|197687
1019|Cherokee|AL|4|  Government and government enterprises|78269|77000|76039|75240
1021|Chilton|AL|1|All Industries|715347|764758|737867|739287
1021|Chilton|AL|2|  Private goods-producing industries|265515|297669|279778|275345
1021|Chilton|AL|3|  Private services-providing industries|332066|352887|347395|354721
1021|Chilton|AL|4|  Government and government enterprises|117766|114239|110780|109477
1023|Choctaw|AL|1|All Industries|524082|488313|501011|470631
1023|Choctaw|AL|2|  Private goods-producing industries|341606|323781|333536|319691
1023|Choctaw|AL|3|  Private services-providing industries|150470|133646|138501|122128
1023|Choctaw|AL|4|  Government and government enterprises|32005|30824|28934|28674
1025|Clarke|AL|1|All Industries|700361|708413|710848|717501
1025|Clarke|AL|2|  Private goods-producing industries|302916|303811|300756|298377
1025|Clarke|AL|3|  Private services-providing industries|277638|288447|296695|307830
1025|Clarke|AL|4|  Government and government enterprises|119807|116207|113616|111714
1027|Clay|AL|1|All Industries|232085|261017|261037|265276
1027|Clay|AL|2|  Private goods-producing industries|107983|129642|132724|139223
1027|Clay|AL|3|  Private services-providing industries|69458|80275|77716|74513
1027|Clay|AL|4|  Government and government enterprises|54644|51204|50785|51928
1029|Cleburne|AL|1|All Industries|249914|248261|254896|284071
1029|Cleburne|AL|2|  Private goods-producing industries|117192|137690|137649|141887
1029|Cleburne|AL|3|  Private services-providing industries|82396|62671|70035|94609
1029|Cleburne|AL|4|  Government and government enterprises|50326|48499|47650|46957
1031|Coffee|AL|1|All Industries|1084201|1088751|1112386|1237578
1031|Coffee|AL|2|  Private goods-producing industries|265330|301715|326267|349775
1031|Coffee|AL|3|  Private services-providing industries|644616|619624|621156|722246
1031|Coffee|AL|4|  Government and government enterprises|174255|167463|165363|166309
1033|Colbert|AL|1|All Industries|2393641|2640273|2757890|2876934
1033|Colbert|AL|2|  Private goods-producing industries|968437|1262178|1379878|1529778
1033|Colbert|AL|3|  Private services-providing industries|1004799|980164|984311|988903
1033|Colbert|AL|4|  Government and government enterprises|420405|402148|400384|368946
1035|Conecuh|AL|1|All Industries|256668|258811|248926|246082
1035|Conecuh|AL|2|  Private goods-producing industries|80752|88123|83228|82482
1035|Conecuh|AL|3|  Private services-providing industries|125321|121904|118189|118428
1035|Conecuh|AL|4|  Government and government enterprises|50595|48807|47520|45217
1037|Coosa|AL|1|All Industries|118371|123568|128630|125727
1037|Coosa|AL|2|  Private goods-producing industries|55985|55721|(D)|65145
1037|Coosa|AL|3|  Private services-providing industries|39418|45495|(D)|40400
1037|Coosa|AL|4|  Government and government enterprises|22968|22342|21007|20416
1039|Covington|AL|1|All Industries|978150|1022605|997884|999820
1039|Covington|AL|2|  Private goods-producing industries|264628|306528|292177|276658
1039|Covington|AL|3|  Private services-providing industries|578392|585765|579441|595325
1039|Covington|AL|4|  Government and government enterprises|135130|130541|126351|127354
1041|Crenshaw|AL|1|All Industries|387037|418156|375890|382326
1041|Crenshaw|AL|2|  Private goods-producing industries|209695|248032|204712|207905
1041|Crenshaw|AL|3|  Private services-providing industries|139594|133270|135337|138191
1041|Crenshaw|AL|4|  Government and government enterprises|37748|36870|35729|36118
1043|Cullman|AL|1|All Industries|2301223|2364721|2314983|2299075
1043|Cullman|AL|2|  Private goods-producing industries|859961|918083|833282|823631
1043|Cullman|AL|3|  Private services-providing industries|1178570|1186532|1223350|1214844
1043|Cullman|AL|4|  Government and government enterprises|262692|260324|257479|259486
1045|Dale|AL|1|All Industries|2756921|2819437|2689058|2676064
